[[-433.96354280488055], [238.13263381220236], [3.2084414978016866]]
[[-433.96354280488055], [237.51967979964897], [3.2084414978016866]]
[[-433.96354280488055], [236.9067257870954], [3.2084414978016866]]
[[-433.96354280488055], [236.29377177454208], [3.2084414978016866]]
[[-433.96354280488055], [235.6808177619887], [3.2084414978016866]]
[[-433.96354280488055], [235.06786374943525], [3.2084414978016866]]
[[-433.96354280488055], [234.45490973688177], [3.2084414978016866]]
[[-433.96354280488055], [233.84195572432833], [3.2084414978016866]]
[[-433.96354280488055], [233.22900171177494], [3.2084414978016866]]
[[-433.96354280488055], [232.6160476992215], [3.2084414978016866]]
[[-433.96354280488055], [232.00309368666805], [3.2084414978016866]]
[[-433.96354280488055], [231.39013967411464], [3.2084414978016866]]
[[-433.96354280488055], [230.77718566156113], [3.2084414978016866]]
[[-433.96354280488055], [230.16423164900775], [3.2084414978016866]]
[[-433.96354280488055], [229.55127763645442], [3.2084414978016866]]
[[-433.96354280488055], [228.93832362390097], [3.2084414978016866]]
[[-433.96354280488055], [228.32536961134747], [3.2084414978016866]]
[[-433.96354280488055], [227.71241559879402], [3.2084414978016866]]
[[-433.96354280488055], [227.09946158624066], [3.2084414978016866]]
[[-433.96354280488055], [226.4865075736872], [3.2084414978016866]]
[[-433.96354280488055], [225.87355356113375], [3.2084414978016866]]
[[-433.96354280488055], [225.2605995485804], [3.2084414978016866]]
[[-433.96354280488055], [224.64764553602694], [3.2084414978016866]]
[[-433.96354280488055], [224.0346915234735], [3.2084414978016866]]
[[-433.96354280488055], [223.4217375109201], [3.2084414978016866]]
[[-433.96354280488055], [222.80878349836667], [3.2084414978016866]]
[[-433.96354280488055], [222.19582948581316], [3.2084414978016866]]
[[-433.96354280488055], [221.5828754732598], [3.2084414978016866]]
[[-433.96354280488055], [220.9699214607064], [3.2084414978016866]]
[[-433.96354280488055], [220.35696744815294], [3.2084414978016866]]
[[-433.96354280488055], [219.7440134355995], [3.2084414978016866]]
[[-433.96354280488055], [219.13105942304608], [3.2084414978016866]]
[[-433.96354280488055], [218.51810541049275], [3.2084414978016866]]
[[-433.96354280488055], [217.90515139793925], [3.2084414978016866]]
[[-433.96354280488055], [217.29219738538583], [3.2084414978016866]]
[[-433.96354280488055], [216.67924337283242], [3.2084414978016866]]
[[-433.96354280488055], [216.06628936027897], [3.2084414978016866]]
[[-433.96354280488055], [215.45333534772547], [3.2084414978016866]]
[[-433.96354280488055], [214.8403813351721], [3.2084414978016866]]
[[-433.96354280488055], [214.2274273226186], [3.2084414978016866]]
[[-433.96354280488055], [213.61447331006522], [3.2084414978016866]]
[[-433.96354280488055], [213.0015192975119], [3.2084414978016866]]
[[-433.96354280488055], [212.38856528495836], [3.2084414978016866]]
[[-433.96354280488055], [211.77561127240497], [3.2084414978016866]]
[[-433.96354280488055], [211.1626572598515], [3.2084414978016866]]
[[-433.96354280488055], [210.54970324729814], [3.2084414978016866]]
[[-433.96354280488055], [209.93674923474464], [3.2084414978016866]]
[[-433.96354280488055], [209.3237952221912], [3.2084414978016866]]
[[-433.96354280488055], [208.71084120963778], [3.2084414978016866]]
[[-433.96354280488055], [208.0978871970844], [3.2084414978016866]]
[[-433.96354280488055], [207.48493318453092], [3.2084414978016866]]
[[-433.96354280488055], [206.8719791719775], [3.2084414978016866]]
[[-433.96354280488055], [206.2590251594241], [3.2084414978016866]]
[[-433.96354280488055], [205.6460711468707], [3.2084414978016866]]
[[-433.96354280488055], [205.03311713431722], [3.2084414978016866]]
[[-433.96354280488055], [204.4201631217639], [3.2084414978016866]]
[[-433.96354280488055], [203.80720910921042], [3.2084414978016866]]
[[-433.96354280488055], [203.19425509665695], [3.2084414978016866]]
[[-433.96354280488055], [202.5813010841035], [3.2084414978016866]]
[[-433.96354280488055], [201.9683470715501], [3.2084414978016866]]
[[-433.96354280488055], [201.35539305899667], [3.2084414978016866]]
[[-433.96354280488055], [200.74243904644322], [3.2084414978016866]]
[[-433.96354280488055], [200.1294850338898], [3.2084414978016866]]
[[-433.96354280488055], [199.5165310213364], [3.2084414978016866]]
