[[-387.75785734929156], [155.48046488894315], [103.38605993507042]]
[[-387.7541280675017], [154.93245281469058], [103.38610255619813]]
[[-387.75039886901243], [154.38445298136304], [103.38614517637382]]
[[-387.7466697538212], [153.8364653885505], [103.3861877955976]]
[[-387.7429407219254], [153.28849003584276], [103.3862304138695]]
[[-387.7392117733218], [152.74052692282976], [103.38627303118938]]
[[-387.73548290800807], [152.19257604910146], [103.38631564755747]]
[[-387.7317541259811], [151.64463741424777], [103.38635826297354]]
[[-387.7280254272382], [151.0967110178587], [103.38640087743772]]
[[-387.7242968117768], [150.54879685952412], [103.38644349095046]]
[[-387.72056827959364], [150.00089493883408], [103.38648610351095]]
[[-387.71683983068635], [149.4530052553787], [103.38652871512022]]
[[-387.713111465052], [148.90512780874784], [103.38657132577737]]
[[-387.7093831826877], [148.3572625985316], [103.38661393548296]]
[[-387.7056549835907], [147.80940962432007], [103.38665654423687]]
[[-387.7019268677584], [147.26156888570335], [103.38669915203923]]
[[-387.6981988351878], [146.71374038227157], [103.38674175889003]]
[[-387.6944708858761], [146.16592411361475], [103.38678436478926]]
[[-387.6907430198207], [145.6181200793232], [103.38682696973706]]
[[-387.6870152370186], [145.07032827898678], [103.38686957373318]]
[[-388.321225571696], [144.66519268913675], [102.38024397955303]]
[[-388.317486806285], [144.11683330141818], [102.38029788025494]]
[[-388.3137481244579], [143.56848617284737], [102.38035177975189]]
[[-388.3100095262119], [143.02015130301334], [102.38040567804399]]
[[-388.30627101154454], [142.47182869150507], [102.38045957513134]]
[[-388.3025325804527], [141.9235183379115], [102.38051347101339]]
[[-388.2987942329337], [141.3752202418215], [102.3805673656907]]
[[-388.2950559689846], [140.8269344028241], [102.38062125916326]]
[[-388.2913177886028], [140.27866082050824], [102.3806751514312]]
[[-388.28757969178537], [139.73039949446306], [102.3807290424943]]
[[-388.2838416785295], [139.18215042427744], [102.38078293235264]]
[[-388.28010374883246], [138.63391360954063], [102.38083682100626]]
[[-388.2763659026913], [138.08568904984153], [102.38089070845558]]
[[-388.27262814010345], [137.5374767447693], [102.38094459470017]]
[[-388.26889046106595], [136.98927669391298], [102.38099847974024]]
[[-388.265152865576], [136.44108889686174], [102.3810523635758]]
[[-388.26141535363087], [135.8929133532048], [102.38110624620697]]
[[-388.25767792522777], [135.34475006253123], [102.38116012763362]]
[[-388.2539405803639], [134.7965990244302], [102.38121400785622]]
[[-388.25020331903625], [134.24846023849096], [102.38126788687407]]
[[-388.2464661412422], [133.70033370430278], [102.38132176468798]]
[[-388.242729046979], [133.1522194214548], [102.3813756412975]]
[[-388.2389920362437], [132.6041173895363], [102.38142951670284]]
[[-388.23525510903363], [132.05602760813647], [102.38148339090401]]
[[-388.231518265346], [131.50795007684485], [102.38153726390112]]
[[-388.22778150517786], [130.9598847952504], [102.38159113569407]]
[[-388.22404482852653], [130.41183176294274], [102.38164500628318]]
[[-388.22030823538927], [129.86379097951115], [102.38169887566801]]
[[-388.216571725763], [129.31576244454493], [102.38175274384912]]
[[-388.21283529964535], [128.76774615763352], [102.38180661082617]]
[[-388.209098957033], [128.2197421183662], [102.3818604765994]]
[[-388.2053626979236], [127.67175032633253], [102.3819143411688]]
[[-388.20162652231426], [127.12377078112198], [102.38196820453436]]
[[-388.1978904302019], [126.5758034823238], [102.3820220666961]]
[[-388.194154421584], [126.02784842952755], [102.38207592765434]]
[[-388.8293419486868], [125.60210648593724], [101.37368597474642]]
[[-388.82559493038525], [125.05358351560713], [101.3737511716738]]
[[-388.8218479959097], [124.50507281650852], [101.3738163671427]]
[[-388.81810114525746], [123.95657438822965], [101.3738815611531]]
[[-388.8143543784257], [123.40808823035883], [101.37394675370501]]
[[-388.81060769541153], [122.85961434248432], [101.37401194479855]]
[[-388.8068610962124], [122.3111527241943], [101.3740771344336]]
[[-388.803114580825], [121.76270337507705], [101.37414232261074]]
[[-388.79936814924696], [121.21426629472097], [101.37420750932938]]
[[-388.7956218014752], [120.66584148271434], [101.37427269458976]]
[[-388.791875537507], [120.1174289386455], [101.374337878392]]
[[-388.7881293573397], [119.56902866210285], [101.3744030607362]]
[[-388.78438326097034], [119.02064065267476], [101.37446824162225]]
[[-388.78063724839603], [118.47226490994959], [101.37453342105027]]
[[-388.7768913196142], [117.92390143351582], [101.37459859902049]]
[[-388.7731454746217], [117.37555022296183], [101.37466377553278]]
[[-388.769399713416], [116.82721127787613], [101.37472895058715]]
[[-388.76565403599426], [116.27888459784717], [101.3747941241835]]
[[-388.7619084423535], [115.73057018246345], [101.37485929632237]]
[[-388.75816293249096], [115.18226803131347], [101.37492446700355]]
[[-388.754417506404], [114.6339781439858], [101.37498963622681]]
[[-388.7506721640898], [114.08570052006894], [101.37505480399261]]
[[-388.7469269055452], [113.53743515915144], [101.37511997030094]]
[[-388.7431817307678], [112.98918206082193], [101.37518513515158]]
[[-388.73943663975456], [112.44094122466906], [101.37525029854464]]
